Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Price,PER,ROE,PER_Rank,ROE_Rank,Magic_Score
007370,KR7007370000,진양제약,KOSDAQ,우량기업부,4000,2,-25,-0.62,4025,4055,3980,3509,14062880,56538348000,14134587,KSQ,3980,2.4,49.59,52.0,38.5,90.5
006620,KR7006620009,동구바이오제약,KOSDAQ,우량기업부,3570,2,-20,-0.56,3600,3605,3545,20184,72014675,101620021440,28464992,KSQ,3520,3.03,49.59,85.0,38.5,123.5
000230,KR7000230003,일동홀딩스,KOSPI,,6230,2,-320,-4.89,6460,6460,6190,30737,192963545,71896692000,11540400,STK,6200,3.3,49.59,99.0,38.5,137.5
054670,KR7054670005,대한뉴팜,KOSDAQ,우량기업부,5720,1,30,0.53,5710,5800,5680,4441,25352390,82110142400,14354920,KSQ,5690,3.41,49.59,106.5,38.5,145.0
001630,KR7001630003,종근당홀딩스,KOSPI,,39150,1,50,0.13,38900,39400,38900,586,22953300,196136058150,5009861,STK,38800,3.62,49.59,124.5,38.5,163.0
096760,KR7096760004,JW홀딩스,KOSPI,,4170,2,-10,-0.24,4165,4245,4105,22145,92639409,308267008140,73924942,STK,4160,3.64,49.59,127.0,38.5,165.5
033270,KR7033270000,유나이티드제약,KOSPI,,18540,1,280,1.53,18260,18650,18170,19306,356670935,294985768500,15910775,STK,18500,3.94,49.59,152.5,38.5,191.0
052790,KR7052790003,액토즈소프트,KOSDAQ,중견기업부,4025,2,-75,-1.83,4090,4165,4025,7130,28904525,43971301675,10924547,KSQ,3975,0.84,29.77,7.0,186.0,193.0
142210,KR7142210004,유니트론텍,KOSDAQ,우량기업부,5860,2,-90,-1.51,5950,6070,5810,44526,261308805,121603221580,20751403,KSQ,5800,2.72,33.24,70.5,130.0,200.5
198080,KR7198080004,캐프,KOSDAQ,우량기업부,2145,2,-30,-1.38,2175,2180,2135,17954,38542880,46192971825,21535185,KSQ,2145,2.22,28.29,45.0,214.5,259.5
041910,KR7041910001,폴라리스AI파마,KOSDAQ,우량기업부,5350,1,30,0.56,5320,5390,5310,5498,29409450,71065922500,13283350,KSQ,5240,4.93,49.59,228.0,38.5,266.5
143240,KR7143240000,사람인,KOSDAQ,우량기업부,16970,2,-280,-1.62,17080,17120,16700,4668,79150830,182134445070,10732731,KSQ,17030,1.99,21.72,36.0,248.0,284.0
002800,KR7002800001,신신제약,KOSDAQ,우량기업부,4610,2,-75,-1.6,4650,4720,4565,42367,195975075,69936005000,15170500,KSQ,4605,5.19,49.59,251.5,38.5,290.0
227950,KR7227950003,엔투텍,KOSDAQ,벤처기업부,1297,1,21,1.65,1278,1347,1261,117075,151347474,44757147073,34508209,KSQ,1305,4.2,33.24,172.0,130.0,302.0
058860,KR7058860008,KTis,KOSPI,,2585,1,5,0.19,2580,2600,2570,11048,28581275,89963170000,34802000,STK,2565,2.42,21.72,54.0,248.0,302.0
102940,KR7102940004,코오롱생명과학,KOSDAQ,중견기업부,14700,3,0,0.0,14890,14920,14570,20020,293577160,192431864100,13090603,KSQ,14570,5.38,49.59,266.5,38.5,305.0
254490,KR7254490006,미래반도체,KOSDAQ,우량기업부,15060,2,-190,-1.25,15300,15690,14960,22783,345211535,217436280000,14438000,KSQ,14830,4.35,33.24,183.5,130.0,313.5
003100,KR7003100005,선광,KOSDAQ,우량기업부,20500,3,0,0.0,20600,20750,20300,3111,63853550,135300000000,6600000,KSQ,20700,2.98,23.19,79.5,238.5,318.0
148150,KR7148150006,세경하이테크,KOSDAQ,우량기업부,4040,1,70,1.76,4010,4125,3900,51538,208648242,143592984720,35542818,KSQ,4065,3.36,28.29,105.0,214.5,319.5
003090,KR7003090008,대웅,KOSPI,,17580,1,130,0.74,17450,18010,17190,27369,482966870,1022136008400,58141980,STK,17120,5.55,49.59,281.5,38.5,320.0
089790,KR7089790000,제이티,KOSDAQ,벤처기업부,5110,2,-90,-1.73,5200,5240,5010,69401,355781170,52712271430,10315513,KSQ,5070,4.51,33.24,193.0,130.0,323.0
192440,KR7192440006,슈피겐코리아,KOSDAQ,우량기업부,29200,2,-200,-0.68,29400,29400,29050,289,8440750,181517799600,6216363,KSQ,29500,3.51,28.29,116.5,214.5,331.0
052900,KR7052900008,KX하이텍,KOSDAQ,우량기업부,959,2,-7,-0.72,970,989,947,223436,214350017,73524698310,76668090,KSQ,952,4.62,33.24,202.0,130.0,332.0
040610,KR7040610008,SG&G,KOSDAQ,중견기업부,3135,1,30,0.97,3105,3165,3080,37847,117831430,53431679730,17043598,KSQ,3105,0.56,18.47,3.0,332.0,335.0
285490,KR7285490009,노바텍,KOSDAQ,벤처기업부,11590,2,-40,-0.34,11640,11760,11510,8704,100766620,122573881290,10575831,KSQ,11540,3.61,28.29,122.5,214.5,337.0
001620,KR7001620004,케이비아이동국실업,KOSPI,,2195,2,-5,-0.23,2215,2220,2180,3253,7174865,48857640170,22258606,STK,2220,1.05,18.47,11.0,332.0,343.0
010770,KR7010770006,평화홀딩스,KOSPI,,3510,2,-95,-2.64,3590,3605,3465,41523,146286275,51335385660,14625466,STK,3515,1.12,18.47,14.0,332.0,346.0
054210,KR7054210000,이랜텍,KOSDAQ,우량기업부,6790,2,-30,-0.44,6830,6880,6640,15088,101975010,171727315900,25291210,KSQ,6710,3.72,28.29,132.0,214.5,346.5
019180,KR7019180009,티에이치엔,KOSPI,,5190,1,90,1.76,5130,5240,5060,26368,135657435,93420000000,18000000,STK,5160,1.23,18.47,16.0,332.0,348.0
018500,KR7018500009,동원모빌리티,KOSPI,,1431,2,-16,-1.11,1447,1447,1424,4715,6755039,66906309123,46754933,STK,1441,1.42,18.47,18.0,332.0,350.0
019540,KR7019540004,일지테크,KOSDAQ,우량기업부,5390,1,30,0.56,5430,5430,5320,4019,21542640,72837765000,13513500,KSQ,5280,1.49,18.47,19.0,332.0,351.0
378850,KR7378850002,화승알앤에이,KOSPI,,2945,3,0,0.0,2945,2950,2930,5984,17601295,55936219735,18993623,STK,2920,1.58,18.47,22.0,332.0,354.0
126720,KR7126720002,수산인더스트리,KOSPI,,21100,1,150,0.72,21050,21200,20900,6278,132182000,301434600000,14286000,STK,21000,3.98,29.45,156.5,198.0,354.5
100250,KR7100250000,진양홀딩스,KOSPI,,3170,1,5,0.16,3150,3185,3150,22159,70310979,202563000000,63900000,STK,3165,1.61,18.47,23.0,332.0,355.0
000220,KR7000220004,유유제약,KOSPI,,3855,2,-25,-0.64,3880,3895,3820,10824,41622890,60706466010,15747462,STK,3790,5.93,49.59,319.0,38.5,357.5
